Site,Module,Start_Formatted,End_Formatted,Fault_Code,Duration_Hours,Fault_Period
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.2 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 01 PM,07/08/2025 01 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.2 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 01 PM - 07/08/2025 01 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.2 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 02 PM,07/08/2025 02 PM,19.0,0.08,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.2 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 02 PM - 07/08/2025 02 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.7 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 12 PM,07/08/2025 12 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.7 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 12 PM - 07/08/2025 12 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.7 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 01 PM,07/08/2025 01 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.7 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 01 PM - 07/08/2025 01 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.7 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 02 PM,07/08/2025 02 PM,19.0,0.08,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 03.7 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 02 PM - 07/08/2025 02 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.1 B >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 06 PM,07/07/2025 06 PM,18.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.1 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 06 PM - 07/07/2025 06 PM, Fault=18.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.1 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 09 AM,07/08/2025 09 AM,18.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.1 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 09 AM - 07/08/2025 09 AM, Fault=18.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.5 B >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 01 PM,07/08/2025 02 PM,19.0,0.42,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.5 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 01 PM - 07/08/2025 02 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.7 B >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 04 PM,07/07/2025 04 PM,36.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 04.7 B >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 04 PM - 07/07/2025 04 PM, Fault=36.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.7 D >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 01 PM,07/07/2025 01 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.7 D >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 01 PM - 07/07/2025 01 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.7 D >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 11 AM,07/08/2025 12 PM,19.0,1.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.7 D >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 11 AM - 07/08/2025 12 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.7 D >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 01 PM,07/08/2025 02 PM,19.0,0.5,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.7 D >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 01 PM - 07/08/2025 02 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.8 D >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 12 PM,07/07/2025 12 PM,18.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 07.8 D >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 12 PM - 07/07/2025 12 PM, Fault=18.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 08.7 D >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 05 PM,07/08/2025 05 PM,40.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 08.7 D >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 05 PM - 07/08/2025 05 PM, Fault=40.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.4 E >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 11 AM,07/08/2025 11 AM,48.0,0.08,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.4 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 11 AM - 07/08/2025 11 AM, Fault=48.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.5 E >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 01 PM,07/08/2025 01 PM,84.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.5 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 01 PM - 07/08/2025 01 PM, Fault=84.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.8 E >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 12 PM,07/07/2025 01 PM,18.0,0.67,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.8 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 12 PM - 07/07/2025 01 PM, Fault=18.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.8 E >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 11 AM,07/08/2025 11 AM,65.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 09.8 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 11 AM - 07/08/2025 11 AM, Fault=65.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.1 E >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 12 PM,07/07/2025 12 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.1 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 12 PM - 07/07/2025 12 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.1 E >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 01 PM,07/07/2025 01 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.1 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 01 PM - 07/07/2025 01 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.2 E >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 01 PM,07/07/2025 01 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.2 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 01 PM - 07/07/2025 01 PM, Fault=19.0"
Aerojet- Camden,GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.4 E >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 01 PM,07/07/2025 01 PM,19.0,0.0,"GPM >> Aerojet- Camden >> Inverter module >> Inverter Module 10.4 E >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 01 PM - 07/07/2025 01 PM, Fault=19.0"
Fort Lupton,GPM >> Fort Lupton >> Inverter module >> Inverter Module 02.8 >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 06 PM,07/07/2025 06 PM,24.263,0.0,"GPM >> Fort Lupton >> Inverter module >> Inverter Module 02.8 >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 06 PM - 07/07/2025 06 PM, Fault=24.263"
Fort Lupton,GPM >> Fort Lupton >> Inverter module >> Inverter Module 02.8 >> POWERELECTRONICS HEx CURRENT FAULT,07/07/2025 06 PM,07/07/2025 06 PM,4.737,0.0,"GPM >> Fort Lupton >> Inverter module >> Inverter Module 02.8 >> POWERELECTRONICS HEx CURRENT FAULT: 07/07/2025 06 PM - 07/07/2025 06 PM, Fault=4.737"
Fort Lupton,GPM >> Fort Lupton >> Inverter module >> Inverter Module 02.8 >> POWERELECTRONICS HEx CURRENT FAULT,07/08/2025 06 PM,07/08/2025 06 PM,19.817,0.0,"GPM >> Fort Lupton >> Inverter module >> Inverter Module 02.8 >> POWERELECTRONICS HEx CURRENT FAULT: 07/08/2025 06 PM - 07/08/2025 06 PM, Fault=19.817"
